Food group,Commonly consumed food,Commonly consumed food ID,Bar code,Brand,Food item,Energy kJ/100g,Fat g/100g,Sat fat g/100g,CHO g/100g,Sugars g/100g,Fibre g/100g,protein g/100g,Sodium g/100g,Date,Source nutrient information
Fruit,"Apples, fresh",,,,,217,0.3,0.0,12,10.8,2.1,0,1,,FCDB
Fruit,"Bananas, fresh",Most commonly consumed foods (except fresh unpackaged foods and takeaways) might have ,,,,382,0.3,0.1,21,15.2,1.8,1,0,,FCDB
Fruit,"Grapes, fresh",multiple rows,,,,282,0.2,0.1,15,15.48,0,1,2,,FCDB
Fruit,"Kiwifruit, fresh",,,,,222,0.7,0.2,11,10.22,2.21,1,2,,FCDB
Fruit,"Mandarins, fresh",,,,,203,0.4,0.0,10,9.85,2,1,3,,FCDB
Fruit,"Nectarines, fresh",,,,,167,0.4,0.0,8,7.8,1.62,1,2,,FCDB
Fruit,"Oranges, fresh",,,,,172,0.3,0.1,9,8.45,2,1,3,,FCDB
Fruit,"Peaches, canned in clear juice",,,,In juice,171,0.0,0.0,9,9.37,1,1,4,,FCDB
Fruit,"Pears, fresh",,,,,188,0.3,0.0,10,9.95,3.2,0,1,,FCDB
Fruit,"Sultanas, dried",,,,"Tasti, homebrand ",1337,0.4,0.2,75,73.2,4.4,3,36,,FCDB
Vegetables,"Avocados, fresh",,,,,1029,26.6,3.7,1,0.54,4.8,2,17,,FCDB
Vegetables,"Broccoli, fresh",,,,,121,0.5,0.1,2,1.75,3.4,4,7,,FCDB
Vegetables,"Cabbage, fresh",,,,drumhead,94,0.2,0.0,4,3.9,1.8,1,7,,FCDB
Vegetables,"Capsicums, fresh",,,,green,73,0.2,0.0,3,2.8,1.5,1,0,,FCDB
Vegetables,"Carrots, fresh",,,,,134,0.2,0.0,7,6.6,2.8,1,41,,FCDB
Vegetables,"Cauliflower, fresh",,,,,84,0.2,0.0,3,2.6,1.8,2,7,,FCDB
Vegetables,"Courgettes, fresh",,,,,47,0.2,0.0,1,0.6,1.1,2,0,,FCDB
Vegetables,"Cucumber, fresh",,,,Telegraph,45,0.0,0.0,2,1.8,0.8,1,2,,FCDB
Vegetables,"Lettuce, fresh",,,,iceberg whole,62,0.3,0.1,2,1.1,1.56,1,2,,FCDB
Vegetables,"Kumara, fresh",,,,,349,0.2,0.1,19,5.2,1.8,1,27,,FCDB
Vegetables,"Mixed vegetables, frozen",,,,Watties,247,0.5,0.1,10,4.5,4.55,3,20,,FCDB
Vegetables,"Mushrooms, fresh",,,,,50,0.2,0.0,0,0.2,2.5,2,6,,FCDB
Vegetables,"Onions, fresh",,,,,57,0.0,0.0,3,2.7,1.4,1,7,,FCDB
Vegetables,"Peas, fozen",,,,,175,0.4,0.1,4,1,5.8,5,2,,NIP
Vegetables,"Potatoes, fresh",,,,,351,0.2,0.0,18,0.21,1.9,2,4,,FCDB
Vegetables,"Potato fries, frozen, superfries, straight cut",,,,,710,5.5,0.9,26,0,2,4,67,,NIP
Vegetables,"Pumpkin, fresh",,,,,164,0.5,0.1,7,6.48,3.24,1,0,,FCDB
Vegetables,"Silverbeet, fresh",,,,,72,0.2,0.0,2,1.5,2.91,2,112,,FCDB
Vegetables,Taro,,,,,488,1.3,1.1,25,2.18,3.07,1,0,,FCDB
Vegetables,"Tomatoes, fresh",,,,,73,0.4,0.0,3,2.65,1.2,1,1,,FCDB
Vegetables,"Tomatoes, canned, drained",,,,Watties 400g can,107,0.2,0.0,5,4.6,1.7,1,138,,NIP
Grains,"Bread, white",,,,"Nature Fresh, home brand",977,2.4,0.3,43,4.3,3.6,9,460,,NIP
Grains,"Bread, wheatmeal",,,,Nature Fresh wheatmeal Toast,908,2.9,0.4,37,3.8,6.5,10,430,,NIP
Grains,"Bread, wholegrain",,,,Vogels,964,2.8,0.4,41,4.1,5.1,10,450,,NIP
Grains,Pita bread,,,,Giannis,1047,0.9,0.1,49,2.3,3,10,344,,NIP
Grains,"Cake, fruit",,,,Ernest Adams,1509,12.9,5.8,56,42.1,3.4,5,250,,NIP
Grains,"Biscuits, plain gingernut",,,,"Griffins Wine, Griffins Cookie Bear",1738,9.0,4.3,78,37.45,1.9,5,190,,NIP
