country,region,DHB,date,season,deprivation,outlet,chain/brand,food group,commonfood,unitsize g/ml,brand,Food Id ,Barcode,type,discount,price,price/100g
NZ,Auckland,Waitemata,18/4/2016,autumn,1,supermarket,Countdown,vegetable,carrot,1000,fresh,20311,,fresh,no,$1.50,$0.15
NZ,Auckland,Waitemata,18/4/2016,autumn,1,supermarket,Countdown,vegetable,carrot,1000,fresh,20311,,fresh,no,$1.49,$0.15
NZ,Auckland,Waitemata,18/4/2016,autumn,5,fresh produce store,Raeward Fresh,fruit,apple,1000,fresh,10211,,fresh,no,$2.50,$0.25
NZ,Auckland,Manukau,19/4/2016,autumn,4,fresh produce store,Fruit World,fruit,apple,1000,fresh,10211,,fresh,no,$2.80,$0.28
NZ,Auckland,Waitemata,21/4/2016,autumn,7,fresh produce store,Fresh Market,fruit,apple,1000,fresh,10211,,fresh,no,$2.60,$0.26
NZ,Auckland,Waitemata,18/4/2016,autumn,5,fresh produce store,Raeward Fresh,vegetable,carrot,1000,fresh,20311,,fresh,no,$1.30,$0.13
NZ,Auckland,Manukau,19/4/2016,autumn,4,fresh produce store,Fruit World,vegetable,carrot,1000,fresh,20311,,fresh,no,$1.50,$0.15
NZ,Auckland,Waitemata,18/4/2016,autumn,7,fresh produce store,Fresh Market,vegetable,carrot,1000,fresh,20311,,fresh,no,$1.49,$0.15
NZ,Auckland,Waitemata,18/4/2016,autumn,5,supermarket,Countdown,dairy,milk trim,2000,Budget,40411,,generic,no,$2.50,$0.13
NZ,Auckland,Waitemata,18/4/2016,autumn,5,supermarket,Countdown,dairy,milk trim,2000,Anchor,40412,,branded,yes,$3.50,$0.18
NZ,Auckland,Waitemata,21/4/2016,autumn,5,supermarket,Countdown,dairy,milk trim,2000,Anchor,40412,,branded,no,$3.20,$0.16
NZ,Auckland,Manukau,19/4/2016,autumn,3,supermarket,Pak N Save,dairy,trim milk,2000,Budget,40411,,generic,no,$2.99,$0.15
NZ,Auckland,Manukau,19/4/2016,autumn,3,supermarket,Pak N Save,dairy,milk trim,2000,Meadowfresh,40413,,branded,yes,$3.99,$0.20
NZ,Auckland,Manukau,19/4/2016,autumn,3,supermarket,Pak N Save,dairy,milk trim,2000,Meadowfresh,40413,,branded,no,$3.50,$0.18
NZ,Auckland,Waitemata,21/4/2016,autumn,3,supermarket,New World,dairy,milk trim,2000,Budget,40411,,generic,no,$3.99,$0.20
NZ,Auckland,Waitemata,21/4/2016,autumn,3,supermarket,New World,dairy,milk trim,2000,Meadowfresh,40413,,branded,no,$4.50,$0.23
NZ,Auckland,Waitemata,18/4/2016,autumn,5,supermarket,Countdown,dairy,milk regular,2000,Budget,40414,,generic,no,$2.50,$0.13
NZ,Auckland,Waitemata,18/4/2016,autumn,5,supermarket,Countdown,dairy,milk regular,2000,Anchor,40415,,branded,yes,$3.50,$0.18
NZ,Auckland,Waitemata,18/4/2016,autumn,5,supermarket,Countdown,dairy,milk regular,2000,Anchor,40414,,branded,no,$3.20,$0.16
NZ,Auckland,Waitemata,21/4/2016,autumn,3,supermarket,Pak N Save,dairy,milk regular,2000,Budget,40414,,generic,no,$2.99,$0.15
NZ,Auckland,Waitemata,21/4/2016,autumn,3,supermarket,Pak N Save,dairy,milk regular,2000,Meadowfresh,40416,,branded,yes,$3.99,$0.20
NZ,Auckland,Waitemata,21/4/2016,autumn,3,supermarket,Pak N Save,dairy,milk regular,2000,Meadowfresh,40416,,branded,no,$3.50,$0.18
NZ,Auckland,Waitemata,21/4/2016,autumn,3,supermarket,New World,dairy,milk regular,2000,Budget,40414,,generic,no,$3.99,$0.20
NZ,Auckland,Waitemata,21/4/2016,autumn,3,supermarket,New World,dairy,milk regular,2000,Meadowfresh,40416,,branded,no,$4.50,$0.23
